security_id,ticker,cik,exchange,identity_status,identity_status_reason,verified_at
AMD,AMD,0000002488,Nasdaq,,,
JPM,JPM,0000019617,NYSE,,,
JPM-PC,JPM-PC,0000019617,NYSE,,,
AMJB,AMJB,0000019617,NYSE,,,
JPM-PD,JPM-PD,0000019617,NYSE,,,
JPM-PJ,JPM-PJ,0000019617,NYSE,,,
JPM-PK,JPM-PK,0000019617,NYSE,,,
JPM-PL,JPM-PL,0000019617,NYSE,,,
JPM-PM,JPM-PM,0000019617,NYSE,,,
VYLD,VYLD,0000019617,NYSE,,,
GE,GE,0000040545,NYSE,,,
INTC,INTC,0000050863,Nasdaq,,,
LLY,LLY,0000059478,NYSE,,,
AAPL,AAPL,0000320193,Nasdaq,,,
MU,MU,0000723125,Nasdaq,,,
UNH,UNH,0000731766,NYSE,,,
MSFT,MSFT,0000789019,Nasdaq,,,
LMT,LMT,0000936468,NYSE,,,
NVDA,NVDA,0001045810,Nasdaq,,,
NFLX,NFLX,0001065280,Nasdaq,,,
PLTR,PLTR,0001321655,Nasdaq,,,
META,META,0001326801,Nasdaq,,,
ORCL,ORCL,0001341439,NYSE,,,
ORCL-PD,ORCL-PD,0001341439,NYSE,,,
SMCI,SMCI,0001375365,Nasdaq,,,
SMCIP,SMCIP,0001375365,Nasdaq,,,
GOOGL,GOOGL,0001652044,Nasdaq,,,
GOOG,GOOG,0001652044,Nasdaq,,,
GOOGM,GOOGM,0001652044,Nasdaq,,,
GOOGN,GOOGN,0001652044,Nasdaq,,,
TEM,TEM,0001717115,Nasdaq,,,
AVGO,AVGO,0001730168,Nasdaq,,,
CRWV,CRWV,0001769628,Nasdaq,,,
BLK,BLK,0002012383,NYSE,,,
